make,model,type,price_approx,year_max,range_mi,battery_kWh,mpg_city,mpg_highway,mpg_combined,test drive,notes,links
Saturn,Vue,ICE manual,0,NA,NA,NA,NA,NA,23,NA,NA,NA
Subaru,Crosstrek,ICE manual,25000,2023,NA,NA,22,29,25,2025-08-23T00:00:00Z,NA,NA
Ford,Focus ST3,ICE manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chevrolet,Equinox LT1,EV,35000,NA,319,85,NA,NA,NA,2025-08-23T00:00:00Z,$2k upgrade for heated seats & safety package,https://www.chevrolet.com/shopping/configurator/electric/2025/equinox-ev/equinox-ev/compare?buildCode=&radius=100&zipCode=48150
Ford Mustang,Mach E Premium,EV no incentive,51680,NA,300,NA,NA,NA,NA,NA,light grey seats,https://shop.ford.com/configure/mach-e/config/summary/Config%5B%7CFord%7CMache%7C2025%7C1%7C1.%7C300A.K3S..PR7...64M.~DBAAA_VS-LE.EAWD.99U.18D.PRE.%5D?intcmp=vhp-360cta-fbc&trim=st
Ford Mustang,Mach E Select,EV no incentive,44080,NA,300,88,NA,NA,NA,NA,comfort package lite,NA
Ford,Maverick XLT/Lariat,hybrid,36000,NA,NA,NA,NA,NA,NA,NA,NA,https://shop.ford.com/configure/maverick/config/summary/Config%5B%7CFord%7CMaverick%7C2025%7C1%7C1.%7C...PG4...63B.LAR.993.77F.VPZ6Z-99000C38-A.%5D?intcmp=vhp-seconNav-fbc
Toyota,BZ4X XLE,EV,37070,NA,252,72,NA,NA,NA,NA,NA,NA
Hyundai,IONIQ 5,EV,42600,NA,318,84,NA,NA,NA,NA,NA,NA
Kia,EV6,EV,42900,NA,319,84,NA,NA,NA,NA,NA,NA
Subaru,Solterra,EV,38495,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polestar,NA,EV,56400,NA,300,NA,NA,NA,NA,NA,NA,NA
Toyota,RAV4,plug-in hybrid,44565,NA,NA,NA,NA,NA,NA,NA,NA,NA
Volvo,V60 T8 Polestar,plug-in hybrid,72345,NA,NA,NA,NA,NA,NA,NA,NA,NA
